"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"din","","Dinka","Digital Humanities","","2026-04-19 16:26:45","False","Käke Raan ke Dijital","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Dinka (ISO code: din). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ŋaar aawiel kɔl taaŋ"", ""translation_rationale"": ""Digital Humanities broken down into Dinka components - ŋaar (digital), aawiel (humanities)""}","llama3.1","2026-04-19T21:26:45.482516Z","949109208.0","82321208.0","73.0","279959542.0","50.0","572215831.0","stop","ŋaar aawiel kɔl taaŋ","Digital Humanities broken down into Dinka components - ŋaar (digital), aawiel (humanities)","[{'translated_term': 'ŋaar aawiel kɔl taaŋ', 'translation_rationale': 'Digital Humanities broken down into Dinka components - ŋaar (digital), aawiel (humanities)'}]","ŋaar aawiel kɔl taaŋ","","","Nilo-Saharan languages"
"dgr","","Dogrib","Digital Humanities","","2026-04-19 16:26:42","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Dogrib (ISO code: dgr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dzíɂı̨́lųłą"", ""translation_rationale"": ""Combining 'dzí' (digital) and 'ı̨́lųłą' (humanities) to create a term that is understandable in the Dogrib language.""}","llama3.1","2026-04-19T21:26:42.51373Z","1135005875.0","79571375.0","74.0","289078292.0","65.0","748143922.0","stop","Dzíɂı̨́lųłą","Combining 'dzí' (digital) and 'ı̨́lųłą' (humanities) to create a term that is understandable in the Dogrib language.","[{'translated_term': 'Dzíɂı̨́lųłą', 'translation_rationale': ""Combining 'dzí' (digital) and 'ı̨́lųłą' (humanities) to create a term that is understandable in the Dogrib language.""}]","Dzíɂı̨́lųłą","","","North American Indian languages"
"den","","Slave","Digital Humanities","","2026-04-19 16:26:39","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Slave (ISO code: den). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Agi di Kɔlɛndu"", ""translation_rationale"": ""Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.""}","llama3.1","2026-04-19T21:26:39.357734Z","1239896416.0","78174041.0","72.0","288075167.0","74.0","852902540.0","stop","Agi di Kɔlɛndu","Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.","[{'translated_term': 'Agi di Kɔlɛndu', 'translation_rationale': ""Digital Humanities translates to 'Agi di Kɔlɛndu' in Slave, combining 'Agi', a prefix meaning 'of the computer' or 'digital', with 'di', a suffix indicating something related to humanities.""}]","Agi di Kɔlɛndu","","","North American Indian languages"
"cu","","Old Church Slavonic","Digital Humanities","","2026-04-19 16:26:31","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Old Church Slavonic (ISO code: cu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Видочниѩ человодствєнїе"", ""translation_rationale"": ""Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'""}","llama3.1","2026-04-19T21:26:31.787518Z","1301624667.0","75405500.0","75.0","290380958.0","79.0","913043167.0","stop","Видочниѩ человодствєнїе","Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'","[{'translated_term': 'Видочниѩ человодствєнїе', 'translation_rationale': ""Derived from Old Church Slavonic terms 'видъ' (vidŭ) meaning 'sight, vision' and 'человодствєнїе' (čelovodstvienĭe) meaning 'humanity, human affairs'""}]","Видочниѩ человодствєнїе","","","Indo-European languages"
"crl","","Northern East Cree","Digital Humanities","","2026-04-19 16:26:28","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Northern East Cree (ISO code: crl). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kakvavitcitakamik"", ""translation_rationale"": ""Combining 'kakva' (digital) and '-vitci-' from 'makivitci', a word for human or person, with the suffix '-tikamik' indicating an aspect of something.""}","llama3.1","2026-04-19T21:26:28.472857Z","1094006709.0","78745209.0","75.0","276678875.0","63.0","720568248.0","stop","Kakvavitcitakamik","Combining 'kakva' (digital) and '-vitci-' from 'makivitci', a word for human or person, with the suffix '-tikamik' indicating an aspect of something.","[{'translated_term': 'Kakvavitcitakamik', 'translation_rationale': ""Combining 'kakva' (digital) and '-vitci-' from 'makivitci', a word for human or person, with the suffix '-tikamik' indicating an aspect of something.""}]","Kakvavitcitakamik","","","North American Indian languages"
"ckb","","Kurdish (Sorani)","Digital Humanities","","2026-04-19 16:26:22","","زانستە مرۆییە دیجیتاڵییەکان","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kurdish (Sorani) (ISO code: ckb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""\u0628\u064a \u0634\u06cc\u0631\u06af\u064a \u062f\u06cc\u06be\u06c3\u06d5\u06a9\u06c7"",
  ""translation_rationale"": ""Combining the words 'digital' and 'humanities'""
}","llama3.1","2026-04-19T21:26:22.211438Z","1270822458.0","79654833.0","78.0","280730625.0","77.0","889885501.0","stop","بي شیرگي دیھۃەکۇ","Combining the words 'digital' and 'humanities'","[]","","","","Indo-European languages"
"chm","","Mari","Digital Humanities","","2026-04-19 16:26:15","False","Цифровой гуманитарный науко","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Mari (ISO code: chm). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Cämäq ämäq"", ""translation_rationale"": ""Mari language equivalent of 'Digital Humanities', where 'cämäq' means 'digital' and 'ämäq' refers to the study or field of humanities, combining a modern term with Mari linguistic conventions.""}","llama3.1","2026-04-19T21:26:15.884337Z","1128901333.0","81414458.0","73.0","277394042.0","65.0","752053294.0","stop","Cämäq ämäq","Mari language equivalent of 'Digital Humanities', where 'cämäq' means 'digital' and 'ämäq' refers to the study or field of humanities, combining a modern term with Mari linguistic conventions.","[{'translated_term': 'Cämäq ämäq', 'translation_rationale': ""Mari language equivalent of 'Digital Humanities', where 'cämäq' means 'digital' and 'ämäq' refers to the study or field of humanities, combining a modern term with Mari linguistic conventions.""}]","Cämäq ämäq","","","Uralic languages"
"cch","","Atsam","Digital Humanities","","2026-04-19 16:26:12","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Atsam (ISO code: cch). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Ŋiŋkaa naŋyaa"", ""translation_rationale"": ""Borrowing from English, combining 'digital' with the Atsam suffix '-naŋyaa', meaning 'things of' or 'realm of'""}","llama3.1","2026-04-19T21:26:12.732214Z","1049574334.0","79734625.0","74.0","287516500.0","58.0","666380828.0","stop","Ŋiŋkaa naŋyaa","Borrowing from English, combining 'digital' with the Atsam suffix '-naŋyaa', meaning 'things of' or 'realm of'","[{'translated_term': 'Ŋiŋkaa naŋyaa', 'translation_rationale': ""Borrowing from English, combining 'digital' with the Atsam suffix '-naŋyaa', meaning 'things of' or 'realm of'""}]","Ŋiŋkaa naŋyaa","","","Niger-Kordofanian languages"
"cad","","Caddo","Digital Humanities","","2026-04-19 16:26:09","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Caddo (ISO code: cad). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Aʦéyelɔ́hkʷa hóma"", ""translation_rationale"": ""Combining Caddo words for 'digital' (Aʦéyelɔ́) and 'humanities' (hóma), with a nod to the influence of European terminology in contemporary Caddo usage""}","llama3.1","2026-04-19T21:26:09.662569Z","1261968333.0","80005541.0","74.0","286771167.0","76.0","874482500.0","stop","Aʦéyelɔ́hkʷa hóma","Combining Caddo words for 'digital' (Aʦéyelɔ́) and 'humanities' (hóma), with a nod to the influence of European terminology in contemporary Caddo usage","[{'translated_term': 'Aʦéyelɔ́hkʷa hóma', 'translation_rationale': ""Combining Caddo words for 'digital' (Aʦéyelɔ́) and 'humanities' (hóma), with a nod to the influence of European terminology in contemporary Caddo usage""}]","Aʦéyelɔ́hkʷa hóma","","","North American Indian languages"
"bum","","Bulu","Digital Humanities","","2026-04-19 16:26:06","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bulu (ISO code: bum). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Djɩjaɛm Dhumɛniti"", ""translation_rationale"": ""Compound term composed of 'Digital' and 'Humanities', with adjustments made for the phonetic properties of Bulu.""}","llama3.1","2026-04-19T21:26:06.376359Z","984621166.0","86120791.0","73.0","289925834.0","52.0","593999167.0","stop","Djɩjaɛm Dhumɛniti","Compound term composed of 'Digital' and 'Humanities', with adjustments made for the phonetic properties of Bulu.","[{'translated_term': 'Djɩjaɛm Dhumɛniti', 'translation_rationale': ""Compound term composed of 'Digital' and 'Humanities', with adjustments made for the phonetic properties of Bulu.""}]","Djɩjaɛm Dhumɛniti","","","Niger-Kordofanian languages"
"brh","","Brahui","Digital Humanities","","2026-04-19 16:25:57","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Brahui (ISO code: brh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""داستانی humane"",
  ""translation_rationale"": ""Brahui: الداستانی (dastani) = digital; humane = humanities""
}","llama3.1","2026-04-19T21:25:57.274037Z","823678750.0","81458209.0","74.0","278135666.0","40.0","452150167.0","stop","داستانی humane","Brahui: الداستانی (dastani) = digital; humane = humanities","[]","","","","Dravidian languages"
"bpy","","Bishnupriya Manipuri","Digital Humanities","","2026-04-19 16:25:54","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bishnupriya Manipuri (ISO code: bpy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Manipur Digital Vidyarthi Bhaanijaana"", ""translation_rationale"": ""Combining the word for 'digital' (Manipuri: \u0b97\u0b45\u0b2f\u0b4d\u0b5e) with 'humanities' in Manipuri (\u0b96\u0b44\u0b95\u0b47\u0b4d\u0b43\u0b99\u0b1a\u0b57\u0b45 \u0b97\u0b2f\u0b5e\u0b2e\u0b3e\u0b35\u0b41), and 'vidyarthi' (\u0b96\u0b95\u0b4d\u0b43\u0b99\u0b1a\u0b57) meaning student or scholar, and the Manipuri word for 'science'""}","llama3.1","2026-04-19T21:25:54.429219Z","2764138792.0","79939250.0","79.0","291059250.0","201.0","2341361287.0","stop","Manipur Digital Vidyarthi Bhaanijaana","Combining the word for 'digital' (Manipuri: ஗୅ଯ୍୞) with 'humanities' in Manipuri (஖ୄகେ୍ୃஙଚୗ୅ ஗ଯ୞ମାଵୁ), and 'vidyarthi' (஖க୍ୃஙଚୗ) meaning student or scholar, and the Manipuri word for 'science'","[{'translated_term': 'Manipur Digital Vidyarthi Bhaanijaana', 'translation_rationale': ""Combining the word for 'digital' (Manipuri: \u0b97\u0b45ଯ୍\u0b5e) with 'humanities' in Manipuri (\u0b96ୄகେ୍ୃஙଚୗ\u0b45 \u0b97ଯ\u0b5eମାଵୁ), and 'vidyarthi' (\u0b96க୍ୃஙଚୗ) meaning student or scholar, and the Manipuri word for 'science'""}]","Manipur Digital Vidyarthi Bhaanijaana","","","Indo-European languages"
